group	value	conf	evidence
1115	encore	H	Bussemaker quote "n'a pas encore voulu revenir" (No 7); "on n'a point [1115] de nouvelle" (No 9)
11	venir	H	"re[11] ici" = revenir ici (Bussemaker quote)
158	a	M	"a actuellement" (Bussemaker quote), with 44
44	actuellement	H	Bussemaker quote, No 7
737	ation	H	"nom in [737]" nomination; "re com [737]" recommandation (No 12)
729	ca	H	"[729] de t" cadet (Bussemaker); sibling value ca
494	son	M	"[494] fils cadet"; "[494] cre[dit] et [494]" (No 4)
6?3	Wassenaer	?	DOC digits "6?3" just before "n'a pas encore voulu revenir" (Bussemaker: Le Comte de Wassenaer); 633 in key is "dont", so the middle digit is not 3-> check image
1190	sont	?	"dans la fermentation ou [1190] les [1086]"
1086	esprits	?	same context
651	dimanche?	?	"[109] ou [651] au plus tard" (No 1), "avant [109] ou [651]" (No 5)
603	conversation	M	"dans le reste de la [603]"; "de ma [603] avec la Gouvernante"
630	n'/lui	?	"je [630] ai"; "chez [630]"
274	S.A.R.	M	Gouvernante: "chez [494][274] a qui j'ai [lu] la declaration"; "je lui ai repondu que [274] savoit"; sibling "altesse royale?"
795	sort	M	"en [795]ant de chez [lui]"
601	evacuees	M	Wesel "sont entierement [601] par le roi de Prusse"
132	deputes?	?	"les [132] des postes"; "nos [132] qui se trouveront"
1172	rs	?	"les mu[1172]" murs; "je me se[1172]" sers
