group	value	conf	evidence
898	uit	H	"le br-uit que j'avois donné un mémoire"; "ce br-uit a été dé-tr-uit" (amb_M lists uit)
794	tr	M	"dé-tr-uit dans le moment"
627	hautes	M	"leurs [627] puissances" (memorial to the States General)
171	republique	M	"de la [171] comme une [776] à la neutralité"; amb_M republique/re; also "si les [171]" = républicains
762	egard	M	"j'ai cru devoir à cet [762] voir le [531]"
531	pensionnaire	M	"voir le [531]... il m'a répondu"; Steyn, Grand Pensionary
936	oit	H	"com-p-t-[936]" = comptoit (amb_M oit)
834	elle	M	"par son affection pour [834]"; "dont [834] devoit"
599	peine	M	"les verroit avec [599] leur s'engager"
992	er	H	"s'engag-[992]"; "desir-[992]"
789	depenses	M	"des [789] fortes dont ... craindre les suites"
289	es	M	"sui-t-[289]" (amb_M tes/tez)
887	desir	M	"devoit [887][992] que" (amb_M)
868	ir/in	?	"ressent-[868] utilité"; "du mo-[868]"; "pro-char-[868]"
3	que	M	"je lui ai répété ce [3] je lui avois dit"
495	sus	M	"là-des-[495]" (amb_M su)
1106	succes	M	"et avec le même [1106]"
662	persuade/sur	?	"je suis [662] que" (amb_M surement)
357	aug	M	"cette [357] ... mentation souffrira"
974	difficultes	M	"souffrira bien des [974]"
945	peuvent	M	"ne [945]vent" (amb_M peut/puis)
735	assez	?	"du moins [735] forts" (amb_M assez)
930	celle	M	"à notre cour, à [930] de Vienne et à [930] de Londres"
413	declar/insinu	?	"je leur [413]ois que"; "je lui ai [413] que"; "précéder une [413] à notre cour"
1116	res(ter)/rez	M	"de [1116]ter"; "comme vous le ver[1116]" (amb_M)
727	mois	M	"du [727] prochain"
