index	base_number	proposed_plaintext	R1040_raw_variants
2	775	e	7 7 5 | 7 7^__ 5 | 7^__ 7^__ 5
4	917	die	9^' 1 7
5	581	ik	5 8^_ 1^_ | 5^'' 8 1 | 5^_ 8^_ 1^_
6	44	de	4 4^__ | 4^' 4 | 4^_ 4^_
7	741	e	7^'' 4 1
8	668	z	6 6^' 8
11	270	met	2^'' 7 0
13	989	heer	9 8^_ 9 | 9^' 8 9
14	790	b	7 9 0
15	21	e	2^__ 1^__
18	384	o	3^__ 8^__ 4 | ^_ 3^__ 8^__ 4
22	301	k	3^__ 0^__ 1^__
23	707	i	7^'' 0 7
27	337	moet	3 3 7 | 3^' 3 7
28	485	ik	4 8^_ 5 | 4^'' 8 5
30	92	en	9^_ 2^_
31	686	dat	6 8 6
32	24	men	2^__ 4^__
33	397	vande	3 9^__ 7^__ | ^_ 3 9 7
34	742	e	7^' 4 2
35	8	z	8^'
36	354	e	3 5^_ 4 | 3^_ 5^_ 4 | 3^__ 5^__ 4
38	198	wel	1 9^_ 8^_ | 1^' 9 8 | 1^_ 9^_ 8^_
40	607	n	6^' 0 7
41	807	conferentie	8 0 7
42	429	wil	4^_ 2^_ 9^_ | 4^__ 2^__ 9
43	187	t	1^'' 8 7
46	298	e	2^_ 9^_ 8
47	664	den	6 6 4
48	874	om	8^'' 7 4
49	341	een	3 4^' 1 | 3^' 4 1 | 3^'' 4 1
50	988	tractaat	9 8^_ 8
51	137	van	1 3 7
54	73	m	7 3^' | 7^' 3 | 7^__ 3^__ | ^_ 7^' 3
55	701	e	7 0 1 | 7^_ 0^_ 1^_ | 7^__ 0^__ 1 | 7^__ 0^__ 1^__
56	642	r	6 4 2 | 6^' 4 2
60	326	met	3 2^_ 6 | 3^_ 2^_ 6 | ^_ 3^_ 2^_ 6
62	692	te	6^' 9 2 | 6^'' 9 2 | ^_ 6^' 9 2
63	868	maaken	8^'' 6 8 | 8^_ 6^_ 8 | 8^__ 6^__ 8
64	315	en	3 1 5
65	911	dat	9^_ 1^_ 1
66	464	zulks	4^_ 6^_ 4
68	107	ver	1^__ 0^__ 7
72	288	a	2^'' 8 8
73	431	g	4^'' 3 1
74	742	d	7^' 4 2
75	810	word	8^' 1 0
76	838	doorde	8^' 3 8 | 8^'' 3 8
79	274	i	2 7^_ 4^_ | 2^_ 7^_ 4 | 2^_ 7^_ 4^_
80	416	ge	4^' 1 6 | 4^_ 1^_ 6^_
81	17	zaak	1 7^'' | 1^__ 7^__
82	896	en	8 9 6 | 8^' 9 6
88	670	handel	6 7 0 | 6^' 7 0 | ^_ 6 7 0
89	186	d	1 8^_ 6 | 1^'' 8 6 | 1^_ 8^_ 6 | ^_ 1^'' 8 6
90	288	worden	2^'' 8 8
91	296	zijn	2 9 6 | 2^'' 9 6
92	778	excell	7 7^'' 8 | 7^' 7 8 | 7^__ 7^__ 8^__
93	365	entie	3 6^_ 5 | 3 6^_ 5^_ | 3 6^__ 5 | 3^_ 6^_ 5 | 3^__ 6^__ 5
95	236	mij	2^' 3 6
96	618	b	6^' 1 8
99	429	o	4^_ 2^_ 9^_ | 4^__ 2^__ 9
101	421	f	4^_ 2^_ 1 | 4^_ 2^_ 1^_
102	962	t	9^' 6 2
103	219	zijn	2 1 9
106	154	d	1 5 4
107	138	o	1 3 8
108	701	en	7 0 1 | 7^_ 0^_ 1^_ | 7^__ 0^__ 1 | 7^__ 0^__ 1^__
109	818	dat	8 1^_ 8^_ | 8^' 1 8 | 8^_ 1^_ 8^_
111	11	eerst	1 1
112	270	d	2^'' 7 0
113	311	a	3 1 1 | 3 1^'' 1
114	618	a	6^' 1 8
115	208	g	2^__ 0^__ 8
116	271	s	2 7 1
117	155	een	1 5 5
118	110	f	1^__ 1^__ 0^__
119	49	a	4^__ 9^__
120	820	v	8 2 0 | 8^__ 2^__ 0
123	813	a	8^' 1 3
125	215	e	2 1 5 | 2 1^' 5 | 2^' 1 5 | ^_ 2^' 1 5
126	971	l	9^' 7 1 | 9^_ 7^_ 1
127	833	antwoord	8 3 3
128	983	b	9^'' 8 3
130	189	k	1 8^' 9 | 1^' 8 9 | 1^'' 8 9
134	732	einde	7 3 2 | 7 3^_ 2 | 7 3^_ 2^_ | 7^_ 3^_ 2 | 7^_ 3^_ 2^_
135	530	een	5^' 3 0
136	369	plein	3 6 9 | 3^__ 6^__ 9 | ^_ 3^' 6 9
139	88	i	8 8 | 8^' 8
140	373	r	3^' 7 3
141	856	inform	8 5 6
142	87	a	8 7^_
143	260	te	2 6 0
145	71	vraagen	7 1^' | 7^' 1
