index	base_number	proposed_plaintext	R1040_raw_variants
1	266	deministervan	2^'' 6 6
2	376	pruissen	3 7 6 | 3 7^_ 6 | 3 7^__ 6 | 3^_ 7^_ 6
3	221	heeft	2 2 1
4	564	voor	5^'' 6 4 | 5^__ 6^__ 4
5	464	eenige	4^_ 6^_ 4
9	23	gedaan	2^_ 3^_ | 2^__ 3^__
11	659	dithof	6^_ 5^_ 9^_
15	39	g	3 9
17	575	van	5 7 5 | 5 7^' 5 | 5^' 7 5 | 5^_ 7^_ 5^_
18	137	zig	1 3 7
19	49	deconcert	4^__ 9^__
22	358	ber	3^_ 5^_ 8
23	483	lij	4 8^'' 3 | 4^'' 8 3 | 4^__ 8^__ 3 | ^_ 4^'' 8 3
24	290	n	2^_ 9^_ 0^_
25	429	en	4^_ 2^_ 9^_ | 4^__ 2^__ 9
26	32	l	3 2^_ | 3^_ 2^_
28	497	den	4 9^__ 7
34	21	vanden	2^__ 1^__
35	70	heer	7^' 0 | ^_ 7^' 0
36	766	erf	7 6 6
38	366	in	3^_ 6^_ 6
39	368	den	3^' 6 8 | 3^'' 6 8
40	92	u	9^_ 2^_
41	446	plaats	4^_ 4^_ 6
43	234	verschil	2^'' 3 4
45	87	en	8 7^_
48	404	te	4^' 0 4 | 4^'' 0 4
50	435	m	^_ 4^__ 3^__ 5
55	480	mij	4 8^' 0 | 4^' 8 0
56	222	is	2 2^_ 2 | 2^_ 2^_ 2 | 2^_ 2^_ 2^_
59	200	dat	2^_ 0^_ 0 | 2^__ 0^__ 0
60	462	het	4^'' 6 2
62	429	geweestis	4^_ 2^_ 9^_ | 4^__ 2^__ 9
63	239	dat	2 3 9
64	497	men	4 9^__ 7
65	311	niet	3 1 1 | 3 1^'' 1
67	98	te	9^' 8 | 9^__ 8^__ | ^_ 9^__ 8^__
68	239	vre	2 3 9
69	498	e	4 9 8
70	931	de	9 3 1
71	506	was	5 0^_ 6 | 5^_ 0^_ 6 | 5^_ 0^_ 6^_
72	499	over	4 9 9 | 4^_ 9^_ 9
75	949	w	9^'' 4 9
78	789	i	7 8 9
80	685	ge	6^' 8 5 | 6^'' 8 5
82	382	g	3^__ 8^__ 2^__
83	757	d	7^'' 5 7
84	446	hadde	4^_ 4^_ 6
85	410	goede	4^'' 1 0
87	108	in	1^'' 0 8
88	285	andere	2^' 8 5
89	457	ge	4^__ 5^__ 7
90	276	vallen	2 7^'' 6
91	480	aanhaar	4 8^' 0 | 4^' 8 0
92	239	ge	2 3 9
93	498	geven	4 9 8
94	290	endat	2^_ 9^_ 0^_
95	252	men	2^'' 5 2
96	688	z	6^'' 8 8
97	931	i	9 3 1
101	16	lie	1 6^' | 1 6^_ | 1^' 6
102	345	ver	3 4^_ 5^_ | 3^_ 4^_ 5
103	101	hier	1^__ 0^__ 1^__
104	290	niet	2^_ 9^_ 0^_
105	289	kon	2^__ 8^__ 9
106	949	in	9^'' 4 9
108	710	ten	7^' 1 0 | 7^_ 1^_ 0^_
