index	group	plain	conf
0	582	L'	H
1	422	Assemblée	M
2	219	de	H
3	294	Hollande	M
4	838	est	H
5	469	commenc	M
6	1021	é	M
7	938	on	H
8	745	doit	H
9	996	y	H
10	161	agi	M
11	1057	ter	H
12	583	la	H
13	741	question	H
14	219	de	H
15	582	l'	H
16	123	augmentation	M
17	593	et	H
18	1159	si	H
19	380	les	H
20	1018	de	H
21	637	ba	M
22	787	t	H
23	797	s	H
24	10	s(ont)	?
25	68	(ont)	?
26	685	vi	M
27	533	f	M
28	797	s	H
29	23	je	H
30	239	ser	M
31	732	ai	H
32	202	a	H
33	684	ver	H
34	588	ti	H
35	3	à	M
36	62	te	?
37	590	ms	?
38	966	pour	H
39	377	parl	H
40	992	er	H
41	354	sans	M
42	245	m'	H
43	102	é	M
44	47	car	M
45	1057	ter	H
46	828	ce	H
47	1054	pendant	M
48	219	de	H
49	828	ce	H
50	31	que	H
51	569	vous	H
52	208	me	H
53	1164	pre	H
54	797	s	H
55	1036	cri	M
56	663	vez	H
57	13	.	H
58	105	[null before sentence?]	?
59	23	je	H
60	10	sa	M
61	1099	is	H
62	662	surement	M
63	31	que	H
64	878	le	H
65	858	corps	M
66	949	com	M
67	79	bi	M
68	134	né	H
69	1044	qui	H
70	745	doit	H
71	797	s'	H
72	422	assembl	H
73	992	er	H
74	966	pour	H
75	941	cou	?
76	527	u	?
77	314	vrir	?
78	579	hanov	M
79	992	er	H
80	434	[,?]	?
81	593	et	H
82	1159	s(i)	H
83	1088	il	H
84	1127	se	H
85	945	peut	H
86	583	la	H
87	1142	Gueldres	M
88	582	(devoit)	?
89	142	(devoit)	?
90	797	(devoit)	?
91	895	(devoit/être)	?
92	844	être	?
93	74	commandé	M
94	306	par	H
95	196	M	H
96	219	de	H
97	750	cu	M
98	245	m	M
99	77	b	M
100	992	er	H
101	583	la	M
102	435	nd	M
103	1	comme(1041, split)	M
104	041	comme(1041, split)	M
105	865	j'ai	H
106	470	eu	M
107	582	l'	H
108	875	honneur	H
109	219	de	H
110	569	vous	H
111	870	le	M
112	897	marqu	H
113	992	er	H
114	888	mais	H
115	16	le Roi de Prusse	H
116	154	ne	M
117	878	le	H
118	668	veut	M
119	943	pas	H
120	938	on	H
121	202	a	H
122	316	proposé	M
123	828	ce	H
124	74	commandement	M
125	739	au	H
126	519	Duc	M
127	1165	lo	H
128	527	u	H
129	1099	is	H
130	653	Wolfenbuttel	M
131	884	Feld	?
132	582	(Marechal)	?
133	276	(Marechal)	?
134	185	Marechal	?
135	219	de	H
136	583	la	H
137	171	Republique	H
138	1044	qui	H
139	582	l'	H
140	202	a	H
141	1055	refus	H
142	1021	é	H
143	29	je	M
144	1194	suis	M
145	1122	assuré	M
146	219	de	H
147	828	ce	H
148	841	ci	H
149	593	et	H
150	225	c'	M
151	838	est	H
152	645	un	H
153	619	grand	M
154	32	secret	M
155	1088	il	H
156	838	est	H
157	732	ai	H
158	1127	sé	H
159	219	de	H
160	1189	jug	H
161	992	er	H
162	984	qu'on	M
163	618	espe	M
164	936	roit	H
165	1071	engag	M
166	992	er	H
167	805	moyen	M
168	580	n	?
169	820	ant	M
170	616	cela	M
171	946	plus	M
172	336	facilement	M
173	583	la	H
174	171	Republique	H
175	103	[not in clear copy]	?
176	1044	[not in clear copy: qui?]	?
177	582	[not in clear copy: l'?]	?
178	202	[not in clear copy: a?]	?
179	178	[not in clear copy]	?
180	13	.	H
181	105	le	?
182	488	Baron de Reischach	M
183	685	vi	H
184	1175	ent	M
185	219	de	H
186	208	me	H
187	985	dire	H
188	572	qu'il	H
189	1124	savoit	H
190	967	po	M
191	1159	si	H
192	588	ti	H
193	663	ve	H
194	308	ment	H
195	31	que	H
196	16	le Roi de Prusse	H
197	739	au	H
198	1134	roit	H
199	885	des	H
200	1182	subsides	M
201	219	de	H
202	582	l'	H
203	414	Angleterre	M
204	593	et	H
205	31	que	H
206	1159	si	H
207	878	le	H
208	691	Ministere	M
209	414	Anglois	M
210	134	ne	H
211	968	pouvoit	M
212	380	les	H
213	889	lui	H
214	847	faire	H
215	902	accord	M
216	992	er	H
217	202	a	H
218	1166	present	M
219	306	par	H
220	583	la	H
221	807	Nation	M
222	1078	[, or .]	?
223	828	ce	H
224	1127	se	H
225	1134	roit	H
226	172	ta	M
227	841	ci	H
228	856	te	H
229	308	ment	H
230	572	qu'il	H
231	380	les	H
232	739	au	H
233	1134	roit	H
234	13	.	H
235	105	[null before sentence?]	?
236	23	je	H
237	766	crois	H
238	31	que	H
239	768	dans	H
240	583	la	H
241	1146	lettre	H
242	219	de	H
243	196	M	H
244	1018	de	H
245	472	hat	M
246	787	t	H
247	1129	ze	M
248	557	l	M
249	1088	il	H
250	838	est	H
251	743	dit	H
252	31	que	H
253	828	ce	H
254	50	che	H
255	2	v	M
256	527	au	M
257	994	lé	?
258	878	?	?
259	813	ger	?
260	838	est	H
261	928	bre	H
262	959	ton	M
263	580	[.]	?
264	878	le	H
265	585	hazard	M
266	245	m'	H
267	202	a	H
268	716	amen	M
269	1021	é	M
270	645	un	H
271	226	negoci	H
272	820	ant	H
273	966	pour	H
274	928	bre	H
275	481	da	H
276	740	avec	M
277	645	un	H
278	91	homme	H
279	1044	qui	H
280	835	en	H
281	58	che	H
282	725	min	M
283	580	[,]	?
284	889	lui	H
285	743	dit	H
286	572	qu'il	H
287	842	etoit	M
288	918	an	M
289	827	cien	M
290	760	mous	M
291	31	que	H
292	787	t	H
293	1008	aire	H
294	572	qu'il	H
295	1075	ent	H
296	936	roit	H
297	739	au	H
298	661	service	M
299	219	du	H
300	16	Roi de Prusse	H
301	572	qu'il	H
302	601	a	?
303	936	voit	M
304	1045	voulu	?
305	884	fa	?
306	245	ci	?
307	208	li	?
308	963	ter	?
309	414	Anglois	M
310	645	une	H
311	885	des	H
312	595	cen	M
313	1021	te	M
314	768	dans	H
315	828	ce	H
316	455	Pais	M
317	583	là	H
318	593	et	H
319	572	qu'il	H
320	996	y	H
321	631	avoit	H
322	1174	eu	M
