line_no	cipher_words	gloss_words
1	W.OD.AST.3.O+.O+.3.O.X D.M.O.3.N.X O+.X.W.AST.X.HH.OD.AST.3.X O+.W.3.HH.M.HH.X 3.N HH.X.Z.X.AST.AST.3.O.X FLW OD.O.OD.AST.X D.U2.W.X.OD I.OD.U2.OD.AST.3.X X.HH	Carissime domine secretarie scit(o)te in integerrim '' amare iu(?)res auarie? ''
2	M.OD.U2.N?.3.OD EQ.AST.M 3.9.9.9s.3.O+ EQs.OD.W.X.AST.X U2.X.9.9.X O+.X.D X.Z.M O.U2.9.HH.U2.O W.U2.EQ.3.M W.M.N?.W.M.AST.D.3.OD.O 3.N.HH.AST.X DAG X.HH	'' pro illis facere uelle sed ego multum cupio concordiam '' '' ''
3	XC N.OD.O W.X.AST.HH.U2.O X.O+.HH O+.3.N? Y? N.X.AST.3.HH W.M.N.W.M.AST.D.3.OD OD.D U2.3.OD EQ.X.AST.3.N.3.HH [struck] I.M.X.O.3.O+ D.U2.OD.O HH.U2.AST.W.X	'' '' '' '' '' '' '' ad uia peritit '' '' boemia? quam ''
4	O+.3.W.U2.HH.3 X.HH OD.U2.O+.HH.AST.3.OD.O W.M.T?.O+.U2.O.AST?.T?.HH HH.AST?.X.X.AST? OD.U2.HH.X.O OD.9.9.3.M.AST.U2.O EQ.X.AST?.T.W.3 EQ.U2.O? T.3.W?.3.9 HH.3.O.X.O+.HH	'' '' '' '' '' '' '' '' '' '' ''
5	D.U2.3?.OD X.Z.M HH.OD.9.X W.U2.O HH.U2.AST.W.OD EQs.X.W.3 EQ.OD.W.HH.U2.O T.3.O+.3 EQ.M.AST.HH.X O+.HH.OD.HH.U2.O+ 3.O.EQ.X.AST.3.3 O+.M.9.3.W.U2	'' '' '' '' '' '' '' '' '' '' '' ''
6	EQ.3.OD.T?.HH H?.M.O+.HH.3.9.3.HH.OD.HH.X.O HH.U2.AST.W.X D.OD.T.D.M OD.U2.XH.3.9.3.OD EQ.X.D.3.T.OD.T.D.M W.M.T.HH.AST.OD FLW 3.HH.OD D.U2.X OD.D.U2.X.AST	'' '' '' '' '' '' '' '' '' '' ''
7	HH.O+.N?.HH EQ.AST.3.N.W.3.EQ.X.O+ U2.X.O+.HH.AST.3 X.HH HH.T?.M.HH.U2.O 3.O.EQ.X.AST.3.U2.O T.X HH.U2.AST.W.OD.O+ 3.T O+.X W.M.T.W.3.HH.X T.X.W	'' '' '' '' '' '' '' '' '' '' '' ''
8	W.M.D?.HH.X.O.T?.U2?.EQ?.D.3? O+.3.T.HH HH.U2.AST.W.X T.OD.O EQ.OD.U2.W.3 O+.U2.T.HH D.U2.U2?.3 O+.W.3.OD.T.HH EQ.M.HH.X.T.W.3.OD.O X.HH OD.O+.HH.U2.W.3.OD.O+	'' '' '' '' '' '' '' '' '' '' ''
9	3.9.9.M.AST.U2.O 9.3.I.X.T.HH.3.O+.O+.3.O.U2.O+ O.3.O+.3.O+.O+.X.O X.D.U2.M?.O+.HH? HH.U2.AST.W.M EQ.AST.3.N.W.3.EQ.3 W.M.N.O+.U2.9?.3 EQ.M.O+.HH.X.M? O+.X.D	'' '' '' '' '' '' '' '' ''
10	EQ.X.AST.O+.X.W?.3.U2.O Y?.O+.HH.M.AST D.U2.W.X.AST.X AST? T.M.9.U2.3.HH [struck] W.M.O.X.T.D.X.HH O.X U2.X.O+.HH.AST.OD? D.M.O.3.T.OD.W.3.M EQ.AST?.3.T	'' '' '' '' '' '' '' '' '' '' ''
11	W.3.EQ.3 I?.U2? O+.U2.3.O+ T.OD.O O+.U2.O W.X.AST.HH.U2.O 3.9.9.M.AST.U2.O O+.X.AST.U2.3.HH.M.AST	'' '' '' '' '' '' ill(ustrissi)m(orum) servitor
