line_no	cipher_words	gloss_words
1	3.M.O.EQs?.N.X.O+ D.X.3.Z.AST.X.O+.W.3.OD X.X.H U2.N.Z.OD.AST.3.X X.HH W.X.HH.X.AST.OD 3.9.9.U2.O+.HH.AST.3.O+.O+.3.O.M EQ.AST.3.N	'' '' '' '' '' '' '' ''
2	W.3.EQ.3 D.M.O.3.N.M 9.U2.D.M.U2.3.W.M D.U2.W.3 N.OD.U2.OD.AST.3.X U2.N? EQs.AST.OD.HH.AST.3 X.HH OD.O.3.W.M O+.U2.M	'' '' '' '' '' '' '' '' '' ''
3	W.OD.AST.3.O+.O+.3.O.M 3.9.9.U2.O+.HH.AST.3.O+.O+.3.O.X EQ.AST.3.N.W.3.EQ.3.O+ EQs.AST.OD.HH.X.AST X.HH OD.O.3.W.X N.M.O+.HH.X.AST.X	'' '' '' '' '' '' ''
4	W.OD.AST.3.O+.O+.3.O.X V.OD.N.U2.3.O.U2.O+ W.M.9.9.M.B.U2.3.U2.O W.U2.O EQ.AST.X.O+.X.N.W.3.U2.O Y?.OD.HH.M.AST.X 9.OD	'' '' '' '' '' '' ''
5	O+?.OD.AST.M 3.U2.D.X.M N.U2.N.W.3.M D.M.O.3.N.OD.W.3.M.N.3 U2.X.O+.HH.AST.X W.U2.3 N.M.N.N.U2.9.9.OD 3.EQ.O+.3.O.X.HH	'' '' '' '' '' '' '' ''
6	W.M.O.O.3.O+.3.O.U2.O+ D.M.O.3.N.OD.W.3.M.N.3 U2.X.O+.HH.AST.X N.M.O+.HH.AST.M N.M.O.3.N.X AST.X.EQs.EQs.X.AST.X.N.D.OD	'' '' '' '' '' ''
7	3.HH.OD.D.U2.X AST.M.Z.OD.O.U2.O+ U2.X.9.3.HH 3.9.9.3 N.M.O+.HH.AST.M N.M.O.3.N.X D.3.W.HH.U2.AST.M EQs.3.D.X.O.M	'' '' '' '' '' '' '' ''
8	N.X.O OD.D.V.3.N.X.X.X X.HH Q.U2.3.D.Q.U2.3.D OD.D AST.X.O N.M.O+.HH.AST.X.O+ 3.O+.HH.3.W 3.N.HH.X.9.9.3.Z.3.X	'' '' '' '' '' '' '' '' ''
9	AST.3.HH EQ.X.AST.HH.3.BLOT.X.AST.X N.M.N.3.O+ EQ.X.AST X.U2.N.D.X.O 3.EQ.O+.U2.O N.U2.N.W.3.U2.O Q.U2.OD.O.=	'' '' '' '' '' '' '' ''
10	EQ.AST.3.O.U2.O EQ.AST.M O+.U2.M 3.N N.M.O+ OD.O.M.AST.X O+.3.Z.N.3.EQs.3.W.OD.AST.X U2.X.9.3.HH N.M.O+.Q.U2.X	'' '' '' '' '' '' '' '' '' ''
11	Q.U2.M.D EQs.OD.W.3.HH O.OD.X.HH D.OD.HH.U2.O N.U2.D.X EQ.M.O+.HH.X.3.D.3.X W.OD.HH.U2.OD.X.3.N.X OD.N.3.N.M	[faint gloss present, illegible] '' '' '' '' '' '' ''
12	O+.3.9.9.X.O+.3.O.M Q.U2.3.N.Z.X.N.HH.X.O+.3.O.M U2.3.Z.X.O+.3.O.M.N.M.N.M	'' quingentesimo? ''
13	3.AST.U2.O+.HH.X.O+.X.O+.X.H [sig]	'' ''
14	O.OD.N.Z EQ.X.AST.EQ.X.3.O	'' ''
15	O+.W.3.EQ.O+.3.HH	''
