line_no	cipher_words	gloss_words
1	W.OD.AST.3.O+.O+.3.O.X D.M.O.3.N.X U2.OD U2.OD.3.O+.X.N.EQs.X.9.9.X H.OD.B.U2.3 [clear:Lras] U2.X.O+.HH.AST.OD.O+ D.OD.HH.OD.O+ O.3.H.3 H.U2.N?.3.U2.O+	Carissime domine ua uaisenfelle habui '' uestras datas mihi huius
2	O.X.N.O+.3.O+ D.3.X D.U2.M.D.X.W.3.O.OD Q.U2.3.B.U2.O+ EQ.AST.3.N.W.3.EQ.X.O+ O+.U2.M.O+ 3.9.9.U2.O+.HH.AST.3.O+.O+.3.O.M.O+ [clear:ac] [clear:se]	mensis die duodecima quibus principes suos illustrissimos '' ''
3	X.XH.W.OD.AST.X U2.M.9.U2.3.HH D.X N.X.Z.9.3.Z.X.N.W.3.OD D.X 3.9.9.M X.XH.X.AST.W.3.HH.U2 Q.U2.3 M.B.O+.X.D.X.AST.OD.HH AST.X	exciare uoluit de negligentia de illo exercitu qui obsederat re
4	DAG B?.U2.D.X Q.U2.3.B.U2.O+ X.W.3.OD.O O+.U2.OD.D.X W.M.N.W.M.AST.D.3.OD.O N.M.N EQ.M.O+.O+.X W.M.O.O.M.D.3.U2.O+ [clear:perfici] [clear:qm]	'' bude quibus etiam suade concordiam non posse commodius '' ''
5	[clear:per] W.X.AST.HH.M.O+ 3.O.EQ.X.AST.3.3 EQ.AST.3.N.W.3.EQ.X.O+ Q.U2.3.B.U2.O+ X.W.3.OD.O D.M.O.3.N.3 U2.X.O+.HH.AST.3 EQs.M.AST.X.N.HH	'' certis imperii principes quibus etiam domini uestri forent
6	OD.D.3.U2.N.Z.X.N.D.3 [clear:de] [clear:qua] [clear:materia] O+.W.AST.3.EQ.O+.3 3.OD.O DAG O+.X.D Q.U2.3.OD N.U2.N.W O.3.HH.3.HH.U2.AST	adiungendi '' '' '' scripsi iam '' sed quia nunc mititur
7	D.M.O.3.N.U2.O+ N.3.W.M.9.OD.U2.O+ O.3.N.K?.U2.3.W.O+ OD.D T.AST.OD.N.W.3.X AST.X.Z.X.O [clear:et] [clear:ad] [clear:alios] M.EQ.U2.O+	dominus nicolaus min..s ad francie regem '' '' '' opus
8	EQs.U2.3.HH EQ.AST.X.O+.X.N.W.3.U2.O 3.U2.D.X.U2.O X.XH.H.3.B.3.HH.M.AST.X.O O.3.HH.HH.X.AST.X OD.D N.U2?.M.O+	fuit presentium indeum exhibitorem mittere ad nos
9	3.N EQ.AST.3.O.3.O+ M.EQ.HH.OD.HH DAG OD.N.X.O+.HH.AST.3.O+ EQ.AST.3.N.W.3.EQ.X.O+ U2.HH X.O+.O+.X.N.HH W.M.N.HH.X.N.HH.3	in primis optat '' anestris principes ut essent contenti
10	O+.HH.OD.AST.X 3.N EQ.OD.W.X HH.U2.N.W W.U2.O D.U2.XH N.U2.AST.X.HH.U2.OD.M.B.X.AST.Z.X.N.O+.3.O+ D.M.O.3.N.3.U2.O O+.U2.U2.O X.AST.W.U2	stare in pace tunc cum dux nurlambergensis dominium suum rer
11	EQ.X.AST.OD.AST.X EQs.3.HH.X.AST.X.HH.U2.AST X.HH EQ.AST.M O.U2.9.HH.U2.O AST.M.Z.OD.HH DAG	perare mitteretur et pro hoc multum rogat ''
12	HH.U2.AST.W.OD.AST.U2.O W.X.O+.OD.AST O.OD.Z.N.M.O+ O.X.M.O+ 9.OD.EQs.M.AST.X [clear:per] [clear:suasus] [clear:est] [blot] OD.D OD.N.N.OD.9.X.O+	turcarum cesar magnos meos labore '' '' '' '' ad annales
13	3.N D.U2.W.3.OD.O+ Q.U2.3 EQ.OD.AST.OD.HH.U2.AST X.O+.HH M.O.N.X.O+ OD.AST.3.EQ.X.AST.X 3.N O+.U2.OD.O OD.O.3.W.3.W.3.OD.O X.HH	in datias qui paratur est omnes arripere in suam amiciciam et
14	W.M.N.EQs.X.D.X.AST.OD.W.3.M.N.X.O Q.U2.M.D DAG O+.3.B.3 N.M.O.3.N.OD.B.3.HH X.HH W.M.O.X.N.D.OD.B.3.HH Q.U2.3 M.O.N.3.N.M.O+	confederationem quod '' sibi nominabit et commendabit qui omninos
15	N.3.O+.3 3.O+.HH.M O.N.N.M W.M.N.W.M.X.D.3.O EQs.3.O+.HH OD.D EQs.U2.HH.U2.X.O.O X.O+.HH.O.HH.X.O X.XH.3.HH.3.HH W.U2.O	nisi '' '' '' '' '' '' '' '' ''
16	3.N.D.3.W.3.HH.3.9.3 EQ.M.HH.X.N.W.3.O 3.N HH.X.X.X.O X.HH 3.N O.OD.X.3 Q.U2.M.D.X.U2.3.HH.X.X EQs.OD.W.3.X O.9.3.M	'' '' '' '' '' '' '' '' '' '' ''
17	HH.X.O.EQ.M.AST.X O+.W.AST.3.B.O.OD N.M.N M.EQ.U2.O+ [clear:tamen] [clear:est] U2.X.O+.HH.AST.3.O+.HH.3.O.X.AST.X EQ.AST.3.N.W.3.EQ.3.B.U2.O+	'' '' '' '' '' '' '' ''
18	N.O.OD EQ.M.O+ EQ.AST.M.U2.3.D.X.N.HH.3.O.U2.O+ 3.N HH.X.O.EQ.M.AST.X	'' '' '' '' ''
19	X.O+.O+.X.HH M.U2.Z.HH.U2.O N.X.W.X.O+.O+.OD.AST.3.U2.O U2.HH N.U2.M.O+ OD.D Q.U2.OD.O.X.HH.O.OD 3.U2.9.3.3 D.3.X.O W.M.N.O+.M.HH.3.HH.U2	'' '' '' '' '' '' '' '' '' ''
20	O.HH.U2.AST 3.N W.U2.B.X.AST.Z.B? 3.N O+.O.D.M.N.3.OD N.O.O.3.B.3 X.AST.3.HH O.3.N.B.U2.3.W.O+ [clear:pro] [clear:certo] [clear:quod]	'' '' '' '' '' '' '' '' '' '' ''
21	[clear:autem] EQ.AST.3.U2.O+ N.M.N EQ.M.HH.U2.3.HH U2.D.O+ W.M.N.U2.X.N.3.AST.X U2.HH.3 O+.W.AST.3.EQ.O+.X.AST.O.HH N.M.N	'' '' '' '' '' '' '' '' ''
