# Bazeries' reconstruction of the Grand Chiffre de 1691 (Louvois-Catinat), "2e Table du chiffre a dechiffrer",
# Burgaud & Bazeries, Le Masque de fer (1893) pp. 280-289. Transcribed 2026-09-16 from the Gallica page images
# (bpt6k1523532j f305-f315, bazeries/f*.jpg). "?" = entry Bazeries left blank (printed as a closing guillemet).
# NULL = "(Point ou nulle.)"; CANCEL = "(Annule le groupe precedent.)". Spelling as printed.
1	Passage
2	Quartier
3	Aucun
4	Rait ou roit
5	Regiment
6	?
7	?
8	E
9	Re
10	Da
11	?
12	Infanterie
13	R
14	NULL
15	?
16	?
17	C
18	Demand
19	?
20	Do
21	Fu
22	En
23	Gouvern
24	Le
25	So
26	Vous
27	CANCEL
28	?
29	NULL
30	NULL
31	A
32	L
33	Join
34	De
35	Faire
36	Ia-ja
37	Impossible
38	Mieux
39	Fin
40	?
41	Cependant
42	De
43	Camp
44	Ni
45	Fo
46	Mi
47	Que
48	Temps
49	E
50	So
51	Vallee de Luzerne
52	Que
53	Ordonn
54	B
55	I-J
56	G
57	I-J
58	Do
59	Ent
60	Se
61	Vo
62	NULL
63	Es
64	Da
65	Ca
66	?
67	Foible
68	Le
69	Nouvelle
70	Sa Majeste
71	?
72	Caval
73	D
74	Don
75	Jour
76	Encore
77	Lequel
78	Nombre
79	Se
80	Quelle
81	Sur
82	?
83	Desir
84	Fa
85	?
86	Ba
87	Certain
88	N
89	It
90	Intention
91	Mon
92	Pe
93	Re
94	Qui
95	Secour
96	Te
97	De
98	?
99	Ce
100	Action
101	Du
102	Ga
103	Moyen
104	Po
105	Ro
106	Troupe
107	NULL
108	NULL
109	Ie-je
110	?
111	Communic
112	Me
113	Pa
114	Quelque
115	St
116	Ta
117	Ra
118	Cause
119	E
120	S
121	O
122	Me
123	?
124	Les
125	Ne
126	S
127	Ce
128	F
129	N
130	Peu
131	Is
132	General
133	?
134	Celle
135	Escri
136	Ha
137	Ma
138	?
139	Somme
140	?
141	Ayant
142	Consider
143	Engage
144	Ne
145	La
146	Ne
147	Pi
148	Qua
149	Si
150	Voir
151	NULL
152	A
153	H
154	E
155	Ainsi
156	Chemin
157	?
158	Lo
159	Nt
160	Present
161	?
162	Demeur
163	Fait
164	Ie-je
165	Mo
166	Peine
167	Re
168	Tant
169	?
170	P
171	T
172	R
173	B
174	Ro
175	Toujours
176	Autre
177	Contrai
178	?
179	Lettre
180	Son
181	Te
182	Canon
183	?
184	In
185	Pense
186	U-V
187	U-V
188	Et
189	Coni
190	?
191	Ceux
192	Du
193	Grand
194	Co
195	Honneur
196	Lo
197	Sa
198	Vous
199	I-J
200	N
201	T
202	Munition
203	?
204	Be
205	T
206	Z
207	X
208	Tout
209	NULL
210	?
211	Prendre
212	Arriv
213	Effet
214	Gard
215	Iu-ju
216	Na
217	Pres
218	D'Angrogne
219	G
220	Pas
221	?
222	Co
223	?
224	Lieu
225	?
226	Qui
227	Tenir
228	?
229	I-J
230	M
231	Jusque
232	?
233	Mais
234	On
235	?
236	Vrai
237	Vallee de Saint-Martin
238	T
239	?
240	?
241	Esper
242	Contre
243	?
244	Mauvais
245	Compte
246	Rend
247	?
248	Dans
249	Capable
250	?
251	I-J
252	C
253	?
254	Gens
255	Lon
256	?
257	Bombe
258	Bled
259	Moins
260	Pas
261	NULL
262	?
263	Arm
264	Celui
265	Autant
266	Combat
267	Gi
268	Leur
269	No
270	Plus
271	Rest
272	Y
273	Et
274	?
275	?
276	Elle
277	Lors
278	Veill
279	Su
280	Per
281	Fi
282	Bu
283	Lui
284	S
285	Ve
286	?
287	?
288	Homme
289	Est
290	Cu
291	J'ay
292	Par
293	To
294	?
295	Deja
296	Bo
297	Projet
298	B
299	Ge
300	R
301	Affaire
302	Combien
303	Gu
304	Pouvoi
305	Si
306	Ua-Va
307	Conven
308	Gu
309	NULL
310	Sou
311	Qu'il
312	Occasion
313	He
314	Aussi
315	Entre
316	L
317	Q
318	Z
319	?
320	Sans
321	Apres
322	Cela
323	D
324	Ci
325	Juge
326	Necessaire
327	Li
328	Fois
329	Inform
330	Masque
331	Mois
332	Sui
333	Di
334	?
335	Chose
336	Enlev
337	La
338	Point
339	Nu
340	Lu
341	NULL
342	Estat
343	Ho
344	Oit
345	S
346	?
347	A
348	I-J
349	Y
350	?
351	?
352	Milan
353	?
354	Personn
355	Frontiere
356	Dispos
357	Car
358	Argent
359	Comme
360	Empesch
361	?
362	Laiss
363	Hi ou Hy
364	?
365	?
366	?
367	NULL
368	To
369	Io-jo
370	Moy
371	Persuad (ou) Asseur
372	Ca
373	?
374	E
375	Mu
376	Tour
377	Trouv
378	Soin
379	?
380	Estre
381	Aussitost
382	Luy
383	Quo
384	Ti
385	A
386	F
387	O
388	Ri
