# Petit chiffre of the Pignerol governors, 1690-91 (Louvois -> d'Herleville 6 Sept 1690; Feuquieres -> Catinat 25 Jan 1691).
# Recovered 2026-09-16 from the printed traduction of the d'Herleville letter (Memoires de Catinat 1819, t. I pp. 140-142)
# and the internal consistency of both letters.  Columns: group, unit, occurrences (both letters), confidence.
# u/v and i/j are one letter (as in the Grand Chiffre).  "_" = null / point.  "?" after a unit = plausible reading, not confirmed by a second context.
2	mesme	1	ok
4	e	8	ok
5	p	7	ok
11	_	1	?
15	lettre	1	?
21	s	12	ok
22	re	10	ok
24	y	3	ok
25	de	9	ok
27	o	3	ok
28	m	3	ok
31	honneur	1	?
32	a	8	ok
34	s	1	ok
37	u	2	ok
39	_	1	?
40	b	2	?
41	e	1	ok
42	de	5	ok
43	l	2	?
44	re	13	ok
46	ro	3	ok
47	les	7	ok
50	b	1	ok
51	n	16	ok
52	.	5	ok
56	le	9	ok
57	co	7	ok
59	y	7	ok
60	r	14	ok
63	d	8	ok
65	en	8	ok
68	l	5	ok
71	de	12	ok
72	je	5	ok
74	scavoi	1	ok
75	tan	1	?
76	va	1	ok
78	u	12	ok
80	comme	2	ok
81	g	4	ok
82	r	2	ok
83	se	2	ok
84	vous	8	ok
85	ment	1	ok
86	_	2	?
88	sur	2	ok
90	i	3	ok
91	t	19	ok
93	ca	2	ok
98	avec	2	ok
99	que	8	ok
100	on	2	ok
101	c	11	ok
102	leroy	2	?
103	_	2	?
104	z	3	ok
106	ma	4	ok
108	fa	2	ok
110	se	3	ok
111	xe	2	ok
113	ro	8	ok
114	la	2	ok
124	f	1	ok
125	e	1	ok
126	oit	1	ok
129	fai	3	ok
134	vos	1	ok
135	ra	7	ok
136	puis	1	ok
138	pa	4	ok
143	ia	3	ok
144	i	7	?
145	go	3	?
146	di	3	ok
147	que	3	ok
148	vie	1	ok
149	vostre	1	ok
150	ve	6	ok
151	la	6	ok
153	co	1	?
154	n	4	ok
156	ta	5	ok
157	qua	2	ok
160	on	1	ok
164	quil	4	ok
165	ve	1	ok
168	d	1	ok
169	ci	1	ok
172	mais	2	ok
175	ti	3	ok
177	le	4	ok
178	r	1	ok
179	cu	1	ok
181	x	5	ok
182	i	1	?
183	se	2	ok
184	au	10	ok
188	ri	7	ok
190	_	3	?
191	u	1	ok
192	u	1	ok
193	ha	5	ok
195	pas	1	ok
196	si	2	ok
197	ou	1	?
199	ru	1	ok
200	s	10	ok
202	bu	1	ok
205	te	5	ok
210	vi	6	ok
212	e	2	ok
213	a	1	ok
214	do	1	?
216	par	1	?
217	di	1	?
218	mdecatinat	1	?
222	ce	3	ok
224	sui	1	ok
228	n	3	ok
229	he	4	ok
231	lo	1	ok
232	bi	1	?
234	st	2	ok
235	pe	6	ok
237	des	3	ok
240	p	1	ok
241	vous	3	?
243	ns	5	ok
247	su	1	ok
249	_	2	?
250	to	1	ok
251	a	2	ok
252	s	3	ok
254	li	1	ok
255	mi	2	ok
258	et	3	ok
259	g	1	ok
263	nt	5	ok
266	tout	4	ok
275	r	3	ok
278	peu	1	ok
279	ga	1	ok
280	is	5	?
285	u	1	ok
296	sieur	1	?
300	du	8	ok
301	il	3	ok
304	s	1	ok
310	ne	8	ok
311	do	1	?
316	me	3	ok
317	mes	3	ok
318	bo	1	ok
322	t	2	ok
328	sca	1	ok
334	moy	1	ok
336	ce	1	ok
341	et	2	ok
342	_	1	?
343	t	2	ok
347	du	2	?
350	pour	2	ok
352	x	1	?
355	mon	4	ok
362	t	2	ok
366	f	1	ok
